"Incident UID","Incident Date","Agency","CIBRS Unique Offense ID","CIBRS Offense Description","City","Zip Code","Block Address","Domestic Violence Incident"
"746397","2021 Jun 22 12:47:46 AM","SAN DIEGO","746397-35A","Drug/Narcotic Violations","SAN DIEGO","92121","5900  BLOCK  LUSK BOULEVARD","false"
"737796","2021 Jun 06 09:00:00 AM","SAN DIEGO","737796-35A","Drug/Narcotic Violations","SAN DIEGO","92037","4200  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"1253410","2021 Jun 03 06:10:00 PM","SAN DIEGO","1253410-35B","Drug Equipment Violations","SAN DIEGO","92121","6000  BLOCK  LUSK BOULEVARD","false"
"739862","2021 Jun 17 03:48:00 AM","SAN DIEGO","739862-35A","Drug/Narcotic Violations","SAN DIEGO","92037","6100  BLOCK  VISTA DE LA MESA","false"
"727379","2021 May 28 12:00:00 PM","SHERIFF","727379-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6400  BLOCK  MIRAMAR ROAD","false"
"756859","2021 May 27 10:25:00 AM","SHERIFF","756859-35A","Drug/Narcotic Violations","SAN DIEGO","92122","NB INTERSTATE 805 OFF RAMP / Nobel DRIVE","false"
"764075","2021 Jun 22 12:00:48 PM","SAN DIEGO","764075-40A","Prostitution","SAN DIEGO","92037","5700  BLOCK  LA JOLLA BOULEVARD","false"
"728108","2021 Jun 03 03:03:00 PM","SAN DIEGO","728108-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3500  BLOCK  LEBON DRIVE","false"
"1253410","2021 Jun 03 06:10:00 PM","SAN DIEGO","1253410-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6000  BLOCK  LUSK BOULEVARD","false"
"763655","2021 Jun 13 02:54:00 PM","SAN DIEGO","763655-35A","Drug/Narcotic Violations","SAN DIEGO","92037","8600  BLOCK  VILLA LA JOLLA DRIVE","false"
"1257250","2021 Jul 07 03:00:00 AM","SAN DIEGO","1257250-35A","Drug/Narcotic Violations","SAN DIEGO","92121","5900  BLOCK  PACIFIC MESA COURT","false"
"800747","2021 Jul 05 06:10:00 PM","SAN DIEGO","800747-35A","Drug/Narcotic Violations","SAN DIEGO","92037","LA JOLLA BOULEVARD / MIDWAY STREET","false"
"752316","2021 Jun 25 02:00:00 AM","SAN DIEGO","752316-35A","Drug/Narcotic Violations","SAN DIEGO","92121","8800  BLOCK  REHCO ROAD","false"
"1257250","2021 Jul 07 03:00:00 AM","SAN DIEGO","1257250-520","Weapon Law Violations","SAN DIEGO","92121","5900  BLOCK  PACIFIC MESA COURT","false"
"764418","2021 Jul 04 06:30:41 AM","SAN DIEGO","764418-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5400  BLOCK  LA JOLLA MESA DRIVE","false"
"761364","2021 Jul 10 08:40:00 AM","SAN DIEGO","761364-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3500  BLOCK  GOVERNOR DRIVE","false"
"748305","2021 Jun 26 07:50:00 AM","SAN DIEGO","748305-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5100  BLOCK  CHELSEA STREET","false"
"748306","2021 Jun 26 06:53:00 AM","SAN DIEGO","748306-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5100  BLOCK  CHELSEA STREET","false"
"1257250","2021 Jul 07 03:00:00 AM","SAN DIEGO","1257250-35B","Drug Equipment Violations","SAN DIEGO","92121","5900  BLOCK  PACIFIC MESA COURT","false"
"2871436","2021 Jul 01 10:59:11 AM","SHERIFF","2871436-35A","Drug/Narcotic Violations","SAN DIEGO","92121","10300  BLOCK  VISTA SORRENTO PARKWAY","false"
"775583","2021 Jul 03 02:18:00 PM","SAN DIEGO","775583-35A","Drug/Narcotic Violations","SAN DIEGO","92122","BERINO COURT / REGENTS ROAD","false"
"753438","2021 Jun 24 11:41:16 PM","SAN DIEGO","753438-35A","Drug/Narcotic Violations","SAN DIEGO","92122","6800  BLOCK  GENESEE AVENUE","false"
"748311","2021 Jun 26 07:14:09 AM","SAN DIEGO","748311-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5100  BLOCK  CHELSEA STREET","false"
"1257549","2021 Aug 14 09:15:45 AM","SAN DIEGO","1257549-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9700  BLOCK  SUMMERS RIDGE ROAD","false"
"1257591","2021 Aug 19 09:41:00 PM","SAN DIEGO","1257591-35B","Drug Equipment Violations","SAN DIEGO","92122","4100  BLOCK  NOBEL DRIVE","false"
"1257477","2021 Aug 06 03:06:00 AM","SAN DIEGO","1257477-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9800  BLOCK  SUMMERS RIDGE ROAD","false"
"1257591","2021 Aug 19 09:41:00 PM","SAN DIEGO","1257591-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4100  BLOCK  NOBEL DRIVE","false"
"784806","2021 Aug 02 07:38:53 AM","SAN DIEGO","784806-35B","Drug Equipment Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false"
"1257612","2021 Aug 23 10:00:08 AM","SAN DIEGO","1257612-35B","Drug Equipment Violations","SAN DIEGO","92037","7700  BLOCK  GIRARD AVENUE","false"
"1258548","2021 Jul 31 05:47:00 AM","SHERIFF","1258548-35B","Drug Equipment Violations","SAN DIEGO","92121","NOB AVENUE / NOB AVENUE","false"
"784806","2021 Aug 02 07:38:53 AM","SAN DIEGO","784806-35A","Drug/Narcotic Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false"
"1257591","2021 Aug 19 09:41:00 PM","SAN DIEGO","1257591-520","Weapon Law Violations","SAN DIEGO","92122","4100  BLOCK  NOBEL DRIVE","false"
"1257549","2021 Aug 14 09:15:45 AM","SAN DIEGO","1257549-35B","Drug Equipment Violations","SAN DIEGO","92121","9700  BLOCK  SUMMERS RIDGE ROAD","false"
"1258548","2021 Jul 31 05:47:00 AM","SHERIFF","1258548-35A","Drug/Narcotic Violations","SAN DIEGO","92121","NOB AVENUE / NOB AVENUE","false"
"1257612","2021 Aug 23 10:00:08 AM","SAN DIEGO","1257612-520","Weapon Law Violations","SAN DIEGO","92037","7700  BLOCK  GIRARD AVENUE","false"
"803296","2021 Jul 31 03:36:00 PM","SAN DIEGO","803296-35A","Drug/Narcotic Violations","SAN DIEGO","92037","1900  BLOCK  NAUTILUS STREET","false"
"853814","2021 Aug 16 09:16:55 AM","SAN DIEGO","853814-35A","Drug/Narcotic Violations","SAN DIEGO","92121","10300  BLOCK  VISTA SORRENTO PARKWAY","false"
"1257477","2021 Aug 06 03:06:00 AM","SAN DIEGO","1257477-35B","Drug Equipment Violations","SAN DIEGO","92121","9800  BLOCK  SUMMERS RIDGE ROAD","false"
"1257612","2021 Aug 23 10:00:08 AM","SAN DIEGO","1257612-35A","Drug/Narcotic Violations","SAN DIEGO","92037","7700  BLOCK  GIRARD AVENUE","false"
"1257807","2021 Sep 16 02:57:00 AM","SAN DIEGO","1257807-35A","Drug/Narcotic Violations","SAN DIEGO","92121","12700  BLOCK  SORRENTO VALLEY ROAD","false"
"836765","2021 Sep 04 07:00:00 PM","SAN DIEGO","836765-520","Weapon Law Violations","SAN DIEGO","92037","DRAPER AVENUE / SEA LANE","false"
"1257772","2021 Sep 10 03:26:00 PM","SAN DIEGO","1257772-35A","Drug/Narcotic Violations","SAN DIEGO","92037","CUVIER STREET / PEARL STREET","false"
"835846","2021 Sep 21 05:56:00 PM","SHERIFF","835846-35A","Drug/Narcotic Violations","SAN DIEGO","92121","11100  BLOCK  SORRENTO VALLEY ROAD","false"
"1257702","2021 Sep 02 10:24:00 PM","SAN DIEGO","1257702-35B","Drug Equipment Violations","SAN DIEGO","92121","6700  BLOCK  MIRA MESA BOULEVARD","false"
"1257758","2021 Sep 08 06:25:00 AM","SAN DIEGO","1257758-35B","Drug Equipment Violations","SAN DIEGO","92037","LA JOLLA VILLAGE DRIVE / REGENTS ROAD","false"
"836765","2021 Sep 04 07:00:00 PM","SAN DIEGO","836765-35A","Drug/Narcotic Violations","SAN DIEGO","92037","DRAPER AVENUE / SEA LANE","false"
"872072","2021 Sep 16 08:02:00 AM","SAN DIEGO","872072-520","Weapon Law Violations","SAN DIEGO","92122","4400  BLOCK  NOBEL DRIVE","false"
"1257798","2021 Sep 15 01:01:00 AM","SAN DIEGO","1257798-520","Weapon Law Violations","SAN DIEGO","92121","10300  BLOCK  ROSELLE STREET","false"
"1257772","2021 Sep 10 03:26:00 PM","SAN DIEGO","1257772-35B","Drug Equipment Violations","SAN DIEGO","92037","CUVIER STREET / PEARL STREET","false"
"841091","2021 Sep 20 08:57:03 PM","SAN DIEGO","841091-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"1257792","2021 Sep 14 07:30:00 AM","SAN DIEGO","1257792-35B","Drug Equipment Violations","SAN DIEGO","92121","6900  BLOCK  MIRAMAR ROAD","false"
"1257807","2021 Sep 16 02:57:00 AM","SAN DIEGO","1257807-35B","Drug Equipment Violations","SAN DIEGO","92121","12700  BLOCK  SORRENTO VALLEY ROAD","false"
"935355","2021 Sep 20 01:20:11 AM","SAN DIEGO","935355-35A","Drug/Narcotic Violations","SAN DIEGO","92122","2900  BLOCK  GOVERNOR DRIVE","false"
"1257798","2021 Sep 15 01:01:00 AM","SAN DIEGO","1257798-35B","Drug Equipment Violations","SAN DIEGO","92121","10300  BLOCK  ROSELLE STREET","false"
"1257669","2021 Aug 29 11:50:00 PM","SAN DIEGO","1257669-35A","Drug/Narcotic Violations","SAN DIEGO","92037","2100  BLOCK  CALLE FRESCOTA","false"
"872124","2021 Sep 15 10:45:00 AM","SAN DIEGO","872124-520","Weapon Law Violations","SAN DIEGO","92122","5300  BLOCK  TOSCANA WAY","false"
"809064","2021 Aug 24 08:53:00 PM","SAN DIEGO","809064-520","Weapon Law Violations","SAN DIEGO","92093","2800  BLOCK  TORREY PINES SCENIC DRIVE","false"
"1257792","2021 Sep 14 07:30:00 AM","SAN DIEGO","1257792-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6900  BLOCK  MIRAMAR ROAD","false"
"891381","2021 Sep 10 05:52:00 PM","SAN DIEGO","891381-520","Weapon Law Violations","SAN DIEGO","92121","5300  BLOCK  MIRAMAR ROAD","false"
"812604","2021 Aug 25 02:56:00 AM","SAN DIEGO","812604-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9500  BLOCK  SCRANTON ROAD","false"
"1257798","2021 Sep 15 01:01:00 AM","SAN DIEGO","1257798-35A","Drug/Narcotic Violations","SAN DIEGO","92121","10300  BLOCK  ROSELLE STREET","false"
"872122","2021 Sep 08 09:30:00 AM","SAN DIEGO","872122-520","Weapon Law Violations","SAN DIEGO","92122","4400  BLOCK  NOBEL DRIVE","false"
"2167283","2021 Sep 21 06:11:00 PM","SHERIFF","2167283-35A","Drug/Narcotic Violations","SAN DIEGO","92121","11100  BLOCK  SORENTO VALLEY BOULEVARD","false"
"1257762","2021 Sep 09 02:34:00 AM","SAN DIEGO","1257762-35B","Drug Equipment Violations","SAN DIEGO","92121","10700  BLOCK  ROSELLE STREET","false"
"1257702","2021 Sep 02 10:24:00 PM","SAN DIEGO","1257702-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6700  BLOCK  MIRA MESA BOULEVARD","false"
"1257669","2021 Aug 29 11:50:00 PM","SAN DIEGO","1257669-35B","Drug Equipment Violations","SAN DIEGO","92037","2100  BLOCK  CALLE FRESCOTA","false"
"1257758","2021 Sep 08 06:25:00 AM","SAN DIEGO","1257758-35A","Drug/Narcotic Violations","SAN DIEGO","92037","LA JOLLA VILLAGE DRIVE / REGENTS ROAD","false"
"857249","2021 Sep 22 02:00:54 PM","SAN DIEGO","857249-40A","Prostitution","SAN DIEGO","92121","6600  BLOCK  LUSK BOULEVARD","false"
"1258038","2021 Oct 15 02:42:52 PM","SAN DIEGO","1258038-35B","Drug Equipment Violations","SAN DIEGO","92122","8900  BLOCK  LOMBARD PLACE","false"
"848486","2021 Sep 28 01:37:00 AM","SAN DIEGO","848486-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6500  BLOCK  MIRAMAR ROAD","false"
"840373","2021 Sep 28 11:53:36 AM","SAN DIEGO","840373-35A","Drug/Narcotic Violations","SAN DIEGO","92122","REGENTS ROAD / STATE ROUTE 52 WB","false"
"1260868","2021 Nov 02 05:30:00 AM","SAN DIEGO","1260868-35B","Drug Equipment Violations","SAN DIEGO","92093","2800  BLOCK  TORREY PINES SCENIC DRIVE","false"
"1260047","2021 Nov 10 01:33:00 AM","SAN DIEGO","1260047-35B","Drug Equipment Violations","SAN DIEGO","92121","11300  BLOCK  SORRENTO VALLEY ROAD","false"
"890105","2021 Nov 16 05:45:37 PM","SAN DIEGO","890105-35A","Drug/Narcotic Violations","SAN DIEGO","92037","7800  BLOCK  FAY AVENUE","false"
"885358","2021 Nov 10 09:40:44 PM","SAN DIEGO","885358-35A","Drug/Narcotic Violations","SAN DIEGO","92037","8400  BLOCK  EL PASEO GRANDE","false"
"873083","2021 Oct 28 09:00:00 PM","SAN DIEGO","873083-35A","Drug/Narcotic Violations","SAN DIEGO","92122","8900  BLOCK  LOMBARD PLACE","false"
"896649","2021 Oct 24 03:40:25 PM","SAN DIEGO","896649-35A","Drug/Narcotic Violations","SAN DIEGO","92122","INTERSTATE 5 NB LA JOLLA VILLAGE DRIVE","true"
"890382","2021 Nov 11 09:03:00 AM","SAN DIEGO","890382-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3900  BLOCK  NOBEL DRIVE","false"
"905663","2021 Nov 03 03:00:00 PM","SAN DIEGO","905663-520","Weapon Law Violations","SAN DIEGO","92122","3400  BLOCK  LEBON DRIVE","false"
"1260019","2021 Nov 04 10:00:00 AM","SAN DIEGO","1260019-35B","Drug Equipment Violations","SAN DIEGO","92037","1500  BLOCK  COAST WALK","false"
"1260047","2021 Nov 10 01:33:00 AM","SAN DIEGO","1260047-35A","Drug/Narcotic Violations","SAN DIEGO","92121","11300  BLOCK  SORRENTO VALLEY ROAD","false"
"1260019","2021 Nov 04 10:00:00 AM","SAN DIEGO","1260019-35A","Drug/Narcotic Violations","SAN DIEGO","92037","1500  BLOCK  COAST WALK","false"
"1260869","2021 Dec 18 10:03:00 AM","SAN DIEGO","1260869-35A","Drug/Narcotic Violations","SAN DIEGO","92122","6900  BLOCK  WELLER STREET","false"
"1496013","2021 Dec 02 05:17:03 PM","SAN DIEGO","1496013-35B","Drug Equipment Violations","SAN DIEGO","92122","4400  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"1260106","2021 Nov 22 08:55:02 AM","SAN DIEGO","1260106-35B","Drug Equipment Violations","SAN DIEGO","92121","5800  BLOCK  MIRA MESA BOULEVARD","false"
